id,nazwa,dystans_km,liczba_punktow,typ,start_lat,start_lon,end_lat,end_lon
72,13 wycieczka klubowa,65.5,2933,średnia,51.974216,20.149737,51.974456,20.149824
73,12 wycieczka,107.4,4850,długa,51.974307,20.149776,51.974409,20.149789
74,11 wycieczka,67.8,3117,średnia,51.974633,20.149899,51.974373,20.149761
75,10 wycieczka,62.7,2774,średnia,51.975469,20.147962,51.974592,20.149807
76,Pttk,35.3,1612,krótka,51.974401,20.149933,51.97438,20.149768
77,9 wycieczka,71.9,3208,średnia,52.000938,20.184572,51.974393,20.149787
78,Skierniewice rajd osir,20.7,984,krótka,51.974353,20.149297,51.974321,20.14974
79,Trasa z Skierniewice do Stanisława Konarskiego 1,69.0,1161,średnia,51.974494,20.149796,51.974439,20.149769
80,8 trasa marzec,64.0,2866,średnia,51.974689,20.149873,51.974414,20.149675
81,7 wycieczka,144.8,6416,długa,51.974284,20.149702,51.974564,20.149797
82,6 ustawka klubowa,57.8,2519,średnia,51.974332,20.149765,51.974439,20.149796
83,5 wycieczka,62.3,2762,średnia,51.974657,20.149961,51.974652,20.149826
84,Trasa z Skierniewice do Bogusławice 107B,62.9,1122,średnia,51.974544,20.149921,51.515007,19.834756
85,Trasa z Skierniewice do Skierniewice,116.8,1736,długa,51.974572,20.14994,51.95686,20.143005
86,Skierniewice 39,30.1,1574,krótka,51.974353,20.149714,51.974575,20.149842
87,Dwa Zalewy jedna przejażdżka,75.0,3817,średnia,51.974322,20.149745,51.974443,20.149909
88,Skierniewice 45 po okolicy,45.7,2184,krótka,51.975298,20.151817,51.97428,20.149836
89,Październikowa 70-tka,70.9,3309,średnia,51.972551,20.148719,51.974565,20.149802
90,Listopadowa jazda,66.2,3287,średnia,51.974441,20.149768,51.974479,20.149797
91,Grudniowa wycieczka leśna,27.6,1220,krótka,51.974305,20.149802,51.974514,20.149747
92,4 wyciwczka Skierniewice - Czerniewice -Biała Rawska,118.8,5268,długa,51.974688,20.149857,51.974437,20.149779
93,"Bogusławice 107B Inowłódz, Spała",138.7,3060,długa,51.51504,19.834469,51.515007,19.834756
94,Trzeci dzień Wyprawowy wolborz i okolice,151.0,9051,długa,51.515319,19.834193,51.514833,19.83472
95,Poranna październikowa wycieczka,72.3,3600,średnia,51.974478,20.149799,51.974509,20.149791
96,Skierniewice -Kampinos - Kiernozia - Łowicz - Skierniewice,155.6,7889,długa,51.974453,20.149865,51.974448,20.14976
97,Trasa z Skierniewice do Skierniewice,62.9,1073,średnia,51.974549,20.149921,51.95686,20.143005
98,Skierniewice Bednart,60.2,3427,średnia,51.97451,20.149819,51.974592,20.149755
99,3 Marcowa wycieczka Skierniewice-Domaniewice -Gluchów-Skierniewice,100.1,4372,długa,51.96058,20.13791,51.974403,20.149775
100,1 Marcowa wycieczka,67.0,2963,średnia,51.974482,20.149752,51.974367,20.149811
101,2 Marcowa wycieczka,106.8,4811,długa,51.974629,20.149918,51.9744,20.149771
102,luty,50.3,2290,średnia,51.97468,20.149882,51.974507,20.149767
103,październik za pasem,66.0,3390,średnia,51.974496,20.149724,51.974403,20.149747
104,Aktywność 1,61.7,4793,średnia,51.974459,20.149848,51.974507,20.149708
105,Skierniewice ostatni dzień lata,41.2,2090,krótka,51.974504,20.149936,51.974521,20.149802
106,70 -tka,70.2,3492,średnia,51.974545,20.150362,51.974502,20.149769
107,Skierniewice Łowicz z grupą,77.9,4357,średnia,51.974522,20.150047,51.974489,20.149679
108,Skierniewice 60 tka,62.0,3651,średnia,51.974409,20.149811,51.97455,20.149745
109,Skierniewice Maków Rajd,44.9,2439,krótka,51.974593,20.149946,51.974448,20.149785
110,Trasa objazdowa dzień 1,141.7,8025,długa,51.514785,19.834869,51.51479,19.834696
111,Wolbórz - Skierniewice 5 dzien koniec,61.5,3717,średnia,51.514854,19.834763,51.974403,20.149704
112,Mała 40-tka,39.9,1900,krótka,51.974358,20.149713,51.97436,20.149832
113,Skierniewice rajd RDS,51.2,2610,średnia,51.973395,20.150897,51.974443,20.149819
114,2 dzień,79.5,1022,średnia,51.51504,19.834478,51.515007,19.834756
115,Skierniewice - Wolbórz - Bogusławice,62.9,3366,średnia,51.974483,20.149574,51.514855,19.834861
116,Przejażdżka Lipiecka,53.5,2687,średnia,51.974514,20.149861,51.974342,20.14974
117,Skierniewice,97.1,4139,średnia,51.972276,20.149135,51.87394,20.123175
118,Szybka 50tka,50.9,2950,średnia,51.97432,20.149751,51.974342,20.149814
119,Skierniewice,23.2,1317,krótka,51.97456,20.150146,51.974568,20.149743
120,Czerniewice - Skierniewice,103.8,5925,długa,51.97435,20.149755,51.974298,20.149812
121,Wycieczka z Anią,30.2,1609,krótka,51.974477,20.150009,51.97447,20.149732
122,Szybkie 70,70.7,4084,średnia,51.974236,20.149717,51.974508,20.149729
123,Skierniewice Dudy,29.3,1406,krótka,51.974785,20.149938,51.974578,20.149783
124,Skierniewice 80 km,82.8,4736,średnia,51.974864,20.149885,51.974283,20.150194
125,Skierniewice Smolarnia,61.3,3404,średnia,51.974242,20.149704,51.974586,20.149803
126,Pszczonów - Skierniewice,19.2,986,krótka,51.946843,19.952115,51.973795,20.144715
127,Skierniewice 20 lipiec,57.6,2708,średnia,51.974391,20.149677,51.974489,20.149858
128,Skierniewice przejażdżka z Aliną,54.9,2875,średnia,51.974099,20.149694,51.974477,20.14989
129,Skierniewice Mysłaków Skierniewice,58.4,2887,średnia,51.974286,20.149765,51.97439,20.149748
130,Małe co nie co,77.8,3737,średnia,51.974277,20.149885,51.974413,20.149671
131,Wyzwanie 1 ok,94.4,4540,średnia,51.974627,20.149713,51.974417,20.149814
132,Skierniewice Łowicz Rydwan Skierniewice,72.5,4054,średnia,51.974688,20.149979,51.974591,20.149828
133,Czer,55.0,2536,średnia,51.974418,20.149842,51.974308,20.14983
134,Skierniewice,45.2,2344,krótka,51.974269,20.149911,51.974373,20.149773
135,Skierniewice - Bolimów - Nieborów - Skierniewice,43.4,2179,krótka,51.974658,20.149971,51.974391,20.149851
